"","vS1","vS2"
"19223","9606.ENSP00000321584","9606.ENSP00000334373"
"19224","9606.ENSP00000334373","9606.ENSP00000407375"
"19231","9606.ENSP00000321584","9606.ENSP00000333926"
"19232","9606.ENSP00000333926","9606.ENSP00000407375"
"19239","9606.ENSP00000321584","9606.ENSP00000331901"
"19240","9606.ENSP00000331901","9606.ENSP00000407375"
"19247","9606.ENSP00000321584","9606.ENSP00000331897"
"19248","9606.ENSP00000331897","9606.ENSP00000407375"
"19255","9606.ENSP00000321584","9606.ENSP00000329466"
"19256","9606.ENSP00000329466","9606.ENSP00000407375"
"19263","9606.ENSP00000321584","9606.ENSP00000327801"
"19264","9606.ENSP00000327801","9606.ENSP00000407375"
"19271","9606.ENSP00000321584","9606.ENSP00000327251"
"19272","9606.ENSP00000327251","9606.ENSP00000407375"
"19279","9606.ENSP00000321584","9606.ENSP00000327070"
"19280","9606.ENSP00000327070","9606.ENSP00000407375"
"19287","9606.ENSP00000321584","9606.ENSP00000326031"
"19288","9606.ENSP00000326031","9606.ENSP00000407375"
"19295","9606.ENSP00000321584","9606.ENSP00000325690"
"19296","9606.ENSP00000325690","9606.ENSP00000407375"
"19303","9606.ENSP00000321584","9606.ENSP00000325448"
"19304","9606.ENSP00000325448","9606.ENSP00000407375"
"19311","9606.ENSP00000321584","9606.ENSP00000324173"
"19312","9606.ENSP00000324173","9606.ENSP00000407375"
"19319","9606.ENSP00000321584","9606.ENSP00000322439"
"19320","9606.ENSP00000322439","9606.ENSP00000407375"
"19327","9606.ENSP00000321584","9606.ENSP00000321259"
"19328","9606.ENSP00000321259","9606.ENSP00000407375"
"19335","9606.ENSP00000321584","9606.ENSP00000320866"
"19336","9606.ENSP00000320866","9606.ENSP00000407375"
"19343","9606.ENSP00000321584","9606.ENSP00000320171"
"19344","9606.ENSP00000320171","9606.ENSP00000407375"
"19351","9606.ENSP00000321584","9606.ENSP00000319501"
"19352","9606.ENSP00000319501","9606.ENSP00000407375"
"19359","9606.ENSP00000321584","9606.ENSP00000313921"
"19360","9606.ENSP00000313921","9606.ENSP00000407375"
"19367","9606.ENSP00000321584","9606.ENSP00000311469"
"19368","9606.ENSP00000311469","9606.ENSP00000407375"
"19375","9606.ENSP00000321584","9606.ENSP00000311032"
"19376","9606.ENSP00000311032","9606.ENSP00000407375"
"19383","9606.ENSP00000321584","9606.ENSP00000310219"
"19384","9606.ENSP00000310219","9606.ENSP00000407375"
"19391","9606.ENSP00000321584","9606.ENSP00000308895"
"19392","9606.ENSP00000308895","9606.ENSP00000407375"
"19399","9606.ENSP00000321584","9606.ENSP00000307900"
"19400","9606.ENSP00000307900","9606.ENSP00000407375"
"19407","9606.ENSP00000321584","9606.ENSP00000307786"
"19408","9606.ENSP00000307786","9606.ENSP00000407375"
"19415","9606.ENSP00000321584","9606.ENSP00000307241"
"19416","9606.ENSP00000307241","9606.ENSP00000407375"
"19423","9606.ENSP00000321584","9606.ENSP00000304845"
"19424","9606.ENSP00000304845","9606.ENSP00000407375"
"19431","9606.ENSP00000321584","9606.ENSP00000304592"
"19432","9606.ENSP00000304592","9606.ENSP00000407375"
"19439","9606.ENSP00000321584","9606.ENSP00000302961"
"19440","9606.ENSP00000302961","9606.ENSP00000407375"
"19447","9606.ENSP00000321584","9606.ENSP00000302886"
"19448","9606.ENSP00000302886","9606.ENSP00000407375"
"19455","9606.ENSP00000321584","9606.ENSP00000301522"
"19456","9606.ENSP00000301522","9606.ENSP00000407375"
"19463","9606.ENSP00000321584","9606.ENSP00000300289"
"19464","9606.ENSP00000300289","9606.ENSP00000407375"
"19471","9606.ENSP00000321584","9606.ENSP00000299518"
"19472","9606.ENSP00000299518","9606.ENSP00000407375"
"19479","9606.ENSP00000321584","9606.ENSP00000298910"
"19480","9606.ENSP00000298910","9606.ENSP00000407375"
"19487","9606.ENSP00000321584","9606.ENSP00000298556"
"19488","9606.ENSP00000298556","9606.ENSP00000407375"
"19495","9606.ENSP00000321584","9606.ENSP00000298510"
"19496","9606.ENSP00000298510","9606.ENSP00000407375"
"19503","9606.ENSP00000321584","9606.ENSP00000297258"
"19504","9606.ENSP00000297258","9606.ENSP00000407375"
"19511","9606.ENSP00000321584","9606.ENSP00000297185"
"19512","9606.ENSP00000297185","9606.ENSP00000407375"
"19519","9606.ENSP00000321584","9606.ENSP00000295897"
"19520","9606.ENSP00000295897","9606.ENSP00000407375"
"19527","9606.ENSP00000321584","9606.ENSP00000295256"
"19528","9606.ENSP00000295256","9606.ENSP00000407375"
"19535","9606.ENSP00000321584","9606.ENSP00000294053"
"19536","9606.ENSP00000294053","9606.ENSP00000407375"
"19543","9606.ENSP00000321584","9606.ENSP00000290573"
"19544","9606.ENSP00000290573","9606.ENSP00000407375"
"19551","9606.ENSP00000321584","9606.ENSP00000290429"
"19552","9606.ENSP00000290429","9606.ENSP00000407375"
"19559","9606.ENSP00000321584","9606.ENSP00000289371"
"19560","9606.ENSP00000289371","9606.ENSP00000407375"
"19567","9606.ENSP00000321584","9606.ENSP00000286091"
"19568","9606.ENSP00000286091","9606.ENSP00000407375"
"19575","9606.ENSP00000321584","9606.ENSP00000285093"
"19576","9606.ENSP00000285093","9606.ENSP00000407375"
"19583","9606.ENSP00000321584","9606.ENSP00000278715"
"19584","9606.ENSP00000278715","9606.ENSP00000407375"
"19591","9606.ENSP00000321584","9606.ENSP00000277865"
"19592","9606.ENSP00000277865","9606.ENSP00000407375"
"19599","9606.ENSP00000321584","9606.ENSP00000277010"
"19600","9606.ENSP00000277010","9606.ENSP00000407375"
"19607","9606.ENSP00000321584","9606.ENSP00000269349"
"19608","9606.ENSP00000269349","9606.ENSP00000407375"
"19615","9606.ENSP00000321584","9606.ENSP00000269305"
"19616","9606.ENSP00000269305","9606.ENSP00000407375"
"19623","9606.ENSP00000321584","9606.ENSP00000269143"
"19624","9606.ENSP00000269143","9606.ENSP00000407375"
"19631","9606.ENSP00000321584","9606.ENSP00000268607"
"19632","9606.ENSP00000268607","9606.ENSP00000407375"
"19639","9606.ENSP00000321584","9606.ENSP00000267814"
"19640","9606.ENSP00000267814","9606.ENSP00000407375"
"19647","9606.ENSP00000321584","9606.ENSP00000266970"
"19648","9606.ENSP00000266970","9606.ENSP00000407375"
"19655","9606.ENSP00000321584","9606.ENSP00000265395"
"19656","9606.ENSP00000265395","9606.ENSP00000407375"
"19663","9606.ENSP00000321584","9606.ENSP00000265333"
"19664","9606.ENSP00000265333","9606.ENSP00000407375"
"19671","9606.ENSP00000321584","9606.ENSP00000264657"
"19672","9606.ENSP00000264657","9606.ENSP00000407375"
