"","vS1","vS2"
"1","9606.ENSP00000387361","9606.ENSP00000478783"
"2","9606.ENSP00000478783","9606.ENSP00000378405"
"9","9606.ENSP00000387361","9606.ENSP00000469863"
"10","9606.ENSP00000469863","9606.ENSP00000378405"
"17","9606.ENSP00000387361","9606.ENSP00000450895"
"18","9606.ENSP00000450895","9606.ENSP00000378405"
"25","9606.ENSP00000387361","9606.ENSP00000442656"
"26","9606.ENSP00000442656","9606.ENSP00000378405"
"33","9606.ENSP00000387361","9606.ENSP00000441755"
"34","9606.ENSP00000441755","9606.ENSP00000378405"
"41","9606.ENSP00000387361","9606.ENSP00000437621"
"42","9606.ENSP00000437621","9606.ENSP00000378405"
"49","9606.ENSP00000387361","9606.ENSP00000423673"
"50","9606.ENSP00000423673","9606.ENSP00000378405"
"57","9606.ENSP00000387361","9606.ENSP00000419361"
"58","9606.ENSP00000419361","9606.ENSP00000378405"
"65","9606.ENSP00000387361","9606.ENSP00000405926"
"66","9606.ENSP00000405926","9606.ENSP00000378405"
"73","9606.ENSP00000387361","9606.ENSP00000405574"
"74","9606.ENSP00000405574","9606.ENSP00000378405"
"81","9606.ENSP00000387361","9606.ENSP00000401907"
"82","9606.ENSP00000401907","9606.ENSP00000378405"
"89","9606.ENSP00000387361","9606.ENSP00000396452"
"90","9606.ENSP00000396452","9606.ENSP00000378405"
"97","9606.ENSP00000387361","9606.ENSP00000385571"
"98","9606.ENSP00000385571","9606.ENSP00000378405"
"105","9606.ENSP00000387361","9606.ENSP00000382863"
"106","9606.ENSP00000382863","9606.ENSP00000378405"
"113","9606.ENSP00000387361","9606.ENSP00000381932"
"114","9606.ENSP00000381932","9606.ENSP00000378405"
"121","9606.ENSP00000387361","9606.ENSP00000373574"
"122","9606.ENSP00000373574","9606.ENSP00000378405"
"129","9606.ENSP00000387361","9606.ENSP00000372191"
"130","9606.ENSP00000372191","9606.ENSP00000378405"
"137","9606.ENSP00000387361","9606.ENSP00000369666"
"138","9606.ENSP00000369666","9606.ENSP00000378405"
"145","9606.ENSP00000387361","9606.ENSP00000364815"
"146","9606.ENSP00000364815","9606.ENSP00000378405"
"153","9606.ENSP00000387361","9606.ENSP00000364133"
"154","9606.ENSP00000364133","9606.ENSP00000378405"
"161","9606.ENSP00000387361","9606.ENSP00000362139"
"162","9606.ENSP00000362139","9606.ENSP00000378405"
"169","9606.ENSP00000387361","9606.ENSP00000361107"
"170","9606.ENSP00000361107","9606.ENSP00000378405"
"177","9606.ENSP00000387361","9606.ENSP00000360644"
"178","9606.ENSP00000360644","9606.ENSP00000378405"
"185","9606.ENSP00000387361","9606.ENSP00000358571"
"186","9606.ENSP00000358571","9606.ENSP00000378405"
"193","9606.ENSP00000387361","9606.ENSP00000357360"
"194","9606.ENSP00000357360","9606.ENSP00000378405"
"201","9606.ENSP00000387361","9606.ENSP00000351209"
"202","9606.ENSP00000351209","9606.ENSP00000378405"
"209","9606.ENSP00000387361","9606.ENSP00000347507"
"210","9606.ENSP00000347507","9606.ENSP00000378405"
"217","9606.ENSP00000387361","9606.ENSP00000345206"
"218","9606.ENSP00000345206","9606.ENSP00000378405"
"225","9606.ENSP00000387361","9606.ENSP00000342952"
"226","9606.ENSP00000342952","9606.ENSP00000378405"
"233","9606.ENSP00000387361","9606.ENSP00000342105"
"234","9606.ENSP00000342105","9606.ENSP00000378405"
"241","9606.ENSP00000387361","9606.ENSP00000323858"
"242","9606.ENSP00000323858","9606.ENSP00000378405"
"249","9606.ENSP00000387361","9606.ENSP00000322251"
"250","9606.ENSP00000322251","9606.ENSP00000378405"
"257","9606.ENSP00000387361","9606.ENSP00000311405"
"258","9606.ENSP00000311405","9606.ENSP00000378405"
"265","9606.ENSP00000387361","9606.ENSP00000307940"
"266","9606.ENSP00000307940","9606.ENSP00000378405"
"273","9606.ENSP00000387361","9606.ENSP00000301466"
"274","9606.ENSP00000301466","9606.ENSP00000378405"
"281","9606.ENSP00000387361","9606.ENSP00000290551"
"282","9606.ENSP00000290551","9606.ENSP00000378405"
"289","9606.ENSP00000387361","9606.ENSP00000265594"
"290","9606.ENSP00000265594","9606.ENSP00000378405"
"297","9606.ENSP00000387361","9606.ENSP00000263640"
"298","9606.ENSP00000263640","9606.ENSP00000378405"
"305","9606.ENSP00000387361","9606.ENSP00000243349"
"306","9606.ENSP00000243349","9606.ENSP00000378405"
"313","9606.ENSP00000378405","9606.ENSP00000464030"
"314","9606.ENSP00000464030","9606.ENSP00000354777"
"321","9606.ENSP00000378405","9606.ENSP00000439913"
"322","9606.ENSP00000439913","9606.ENSP00000354777"
"329","9606.ENSP00000378405","9606.ENSP00000430684"
"330","9606.ENSP00000430684","9606.ENSP00000354777"
"337","9606.ENSP00000378405","9606.ENSP00000424896"
"338","9606.ENSP00000424896","9606.ENSP00000354777"
"345","9606.ENSP00000378405","9606.ENSP00000385142"
"346","9606.ENSP00000385142","9606.ENSP00000354777"
"353","9606.ENSP00000378405","9606.ENSP00000369666"
"354","9606.ENSP00000369666","9606.ENSP00000354777"
"361","9606.ENSP00000378405","9606.ENSP00000359506"
"362","9606.ENSP00000359506","9606.ENSP00000354777"
"369","9606.ENSP00000378405","9606.ENSP00000359424"
"370","9606.ENSP00000359424","9606.ENSP00000354777"
"377","9606.ENSP00000378405","9606.ENSP00000358997"
"378","9606.ENSP00000358997","9606.ENSP00000354777"
"385","9606.ENSP00000378405","9606.ENSP00000333685"
"386","9606.ENSP00000333685","9606.ENSP00000354777"
"393","9606.ENSP00000378405","9606.ENSP00000329967"
"394","9606.ENSP00000329967","9606.ENSP00000354777"
"401","9606.ENSP00000378405","9606.ENSP00000313601"
"402","9606.ENSP00000313601","9606.ENSP00000354777"
"409","9606.ENSP00000378405","9606.ENSP00000288828"
"410","9606.ENSP00000288828","9606.ENSP00000354777"
"417","9606.ENSP00000378405","9606.ENSP00000281172"
"418","9606.ENSP00000281172","9606.ENSP00000354777"
"425","9606.ENSP00000378405","9606.ENSP00000276052"
"426","9606.ENSP00000276052","9606.ENSP00000354777"
"433","9606.ENSP00000378405","9606.ENSP00000264990"
"434","9606.ENSP00000264990","9606.ENSP00000354777"
"441","9606.ENSP00000378405","9606.ENSP00000262741"
"442","9606.ENSP00000262741","9606.ENSP00000354777"
"449","9606.ENSP00000378405","9606.ENSP00000262395"
"450","9606.ENSP00000262395","9606.ENSP00000354777"
"457","9606.ENSP00000378405","9606.ENSP00000259808"
"458","9606.ENSP00000259808","9606.ENSP00000354777"
"465","9606.ENSP00000378405","9606.ENSP00000256458"
"466","9606.ENSP00000256458","9606.ENSP00000354777"
"473","9606.ENSP00000378405","9606.ENSP00000215659"
"474","9606.ENSP00000215659","9606.ENSP00000354777"
"481","9606.ENSP00000354777","9606.ENSP00000482835"
"482","9606.ENSP00000482835","9606.ENSP00000376306"
"489","9606.ENSP00000354777","9606.ENSP00000465589"
"490","9606.ENSP00000465589","9606.ENSP00000376306"
"497","9606.ENSP00000354777","9606.ENSP00000427424"
"498","9606.ENSP00000427424","9606.ENSP00000376306"
"505","9606.ENSP00000354777","9606.ENSP00000426103"
"506","9606.ENSP00000426103","9606.ENSP00000376306"
"513","9606.ENSP00000354777","9606.ENSP00000425658"
"514","9606.ENSP00000425658","9606.ENSP00000376306"
"521","9606.ENSP00000354777","9606.ENSP00000411831"
"522","9606.ENSP00000411831","9606.ENSP00000376306"
"529","9606.ENSP00000354777","9606.ENSP00000411250"
"530","9606.ENSP00000411250","9606.ENSP00000376306"
"537","9606.ENSP00000354777","9606.ENSP00000411073"
"538","9606.ENSP00000411073","9606.ENSP00000376306"
"545","9606.ENSP00000354777","9606.ENSP00000401399"
"546","9606.ENSP00000401399","9606.ENSP00000376306"
"553","9606.ENSP00000354777","9606.ENSP00000391311"
"554","9606.ENSP00000391311","9606.ENSP00000376306"
"561","9606.ENSP00000354777","9606.ENSP00000385852"
"562","9606.ENSP00000385852","9606.ENSP00000376306"
"569","9606.ENSP00000354777","9606.ENSP00000385636"
"570","9606.ENSP00000385636","9606.ENSP00000376306"
"577","9606.ENSP00000354777","9606.ENSP00000385545"
"578","9606.ENSP00000385545","9606.ENSP00000376306"
"585","9606.ENSP00000354777","9606.ENSP00000382428"
"586","9606.ENSP00000382428","9606.ENSP00000376306"
"593","9606.ENSP00000354777","9606.ENSP00000382379"
"594","9606.ENSP00000382379","9606.ENSP00000376306"
"601","9606.ENSP00000354777","9606.ENSP00000378356"
"602","9606.ENSP00000378356","9606.ENSP00000376306"
"609","9606.ENSP00000354777","9606.ENSP00000376272"
"610","9606.ENSP00000376272","9606.ENSP00000376306"
"617","9606.ENSP00000354777","9606.ENSP00000374455"
"618","9606.ENSP00000374455","9606.ENSP00000376306"
"625","9606.ENSP00000354777","9606.ENSP00000371587"
"626","9606.ENSP00000371587","9606.ENSP00000376306"
"633","9606.ENSP00000354777","9606.ENSP00000369666"
"634","9606.ENSP00000369666","9606.ENSP00000376306"
"641","9606.ENSP00000354777","9606.ENSP00000364631"
"642","9606.ENSP00000364631","9606.ENSP00000376306"
"649","9606.ENSP00000354777","9606.ENSP00000363787"
"650","9606.ENSP00000363787","9606.ENSP00000376306"
"657","9606.ENSP00000354777","9606.ENSP00000360998"
"658","9606.ENSP00000360998","9606.ENSP00000376306"
"665","9606.ENSP00000354777","9606.ENSP00000359339"
"666","9606.ENSP00000359339","9606.ENSP00000376306"
"673","9606.ENSP00000354777","9606.ENSP00000357113"
"674","9606.ENSP00000357113","9606.ENSP00000376306"
"681","9606.ENSP00000354777","9606.ENSP00000356476"
"682","9606.ENSP00000356476","9606.ENSP00000376306"
"689","9606.ENSP00000354777","9606.ENSP00000356224"
"690","9606.ENSP00000356224","9606.ENSP00000376306"
"697","9606.ENSP00000354777","9606.ENSP00000355645"
"698","9606.ENSP00000355645","9606.ENSP00000376306"
"705","9606.ENSP00000354777","9606.ENSP00000354623"
"706","9606.ENSP00000354623","9606.ENSP00000376306"
"713","9606.ENSP00000354777","9606.ENSP00000350719"
"714","9606.ENSP00000350719","9606.ENSP00000376306"
"721","9606.ENSP00000354777","9606.ENSP00000348099"
"722","9606.ENSP00000348099","9606.ENSP00000376306"
"729","9606.ENSP00000354777","9606.ENSP00000342778"
"730","9606.ENSP00000342778","9606.ENSP00000376306"
"737","9606.ENSP00000354777","9606.ENSP00000340820"
"738","9606.ENSP00000340820","9606.ENSP00000376306"
"745","9606.ENSP00000354777","9606.ENSP00000335153"
"746","9606.ENSP00000335153","9606.ENSP00000376306"
"753","9606.ENSP00000354777","9606.ENSP00000333685"
"754","9606.ENSP00000333685","9606.ENSP00000376306"
"761","9606.ENSP00000354777","9606.ENSP00000331857"
"762","9606.ENSP00000331857","9606.ENSP00000376306"
"769","9606.ENSP00000354777","9606.ENSP00000301332"
"770","9606.ENSP00000301332","9606.ENSP00000376306"
"777","9606.ENSP00000354777","9606.ENSP00000292807"
"778","9606.ENSP00000292807","9606.ENSP00000376306"
"785","9606.ENSP00000354777","9606.ENSP00000286918"
"786","9606.ENSP00000286918","9606.ENSP00000376306"
"793","9606.ENSP00000354777","9606.ENSP00000282412"
"794","9606.ENSP00000282412","9606.ENSP00000376306"
"801","9606.ENSP00000354777","9606.ENSP00000272519"
"802","9606.ENSP00000272519","9606.ENSP00000376306"
"809","9606.ENSP00000354777","9606.ENSP00000267116"
"810","9606.ENSP00000267116","9606.ENSP00000376306"
"817","9606.ENSP00000354777","9606.ENSP00000265562"
"818","9606.ENSP00000265562","9606.ENSP00000376306"
"825","9606.ENSP00000354777","9606.ENSP00000263360"
"826","9606.ENSP00000263360","9606.ENSP00000376306"
"833","9606.ENSP00000354777","9606.ENSP00000262113"
"834","9606.ENSP00000262113","9606.ENSP00000376306"
"841","9606.ENSP00000354777","9606.ENSP00000259808"
"842","9606.ENSP00000259808","9606.ENSP00000376306"
"849","9606.ENSP00000354777","9606.ENSP00000259711"
"850","9606.ENSP00000259711","9606.ENSP00000376306"
"857","9606.ENSP00000354777","9606.ENSP00000258169"
"858","9606.ENSP00000258169","9606.ENSP00000376306"
"865","9606.ENSP00000354777","9606.ENSP00000250113"
"866","9606.ENSP00000250113","9606.ENSP00000376306"
"873","9606.ENSP00000354777","9606.ENSP00000242719"
"874","9606.ENSP00000242719","9606.ENSP00000376306"
"881","9606.ENSP00000354777","9606.ENSP00000225916"
"882","9606.ENSP00000225916","9606.ENSP00000376306"
"889","9606.ENSP00000354777","9606.ENSP00000221419"
"890","9606.ENSP00000221419","9606.ENSP00000376306"
"897","9606.ENSP00000354777","9606.ENSP00000220592"
"898","9606.ENSP00000220592","9606.ENSP00000376306"
"905","9606.ENSP00000354777","9606.ENSP00000216797"
"906","9606.ENSP00000216797","9606.ENSP00000376306"
"913","9606.ENSP00000354777","9606.ENSP00000216160"
"914","9606.ENSP00000216160","9606.ENSP00000376306"
"921","9606.ENSP00000354777","9606.ENSP00000215659"
"922","9606.ENSP00000215659","9606.ENSP00000376306"
"929","9606.ENSP00000376306","9606.ENSP00000485582"
"930","9606.ENSP00000485582","9606.ENSP00000264167"
"937","9606.ENSP00000376306","9606.ENSP00000483720"
"938","9606.ENSP00000483720","9606.ENSP00000264167"
"945","9606.ENSP00000376306","9606.ENSP00000457991"
"946","9606.ENSP00000457991","9606.ENSP00000264167"
"953","9606.ENSP00000376306","9606.ENSP00000452762"
"954","9606.ENSP00000452762","9606.ENSP00000264167"
"961","9606.ENSP00000376306","9606.ENSP00000447000"
"962","9606.ENSP00000447000","9606.ENSP00000264167"
"969","9606.ENSP00000376306","9606.ENSP00000439182"
"970","9606.ENSP00000439182","9606.ENSP00000264167"
"977","9606.ENSP00000376306","9606.ENSP00000433427"
"978","9606.ENSP00000433427","9606.ENSP00000264167"
"985","9606.ENSP00000376306","9606.ENSP00000431800"
"986","9606.ENSP00000431800","9606.ENSP00000264167"
"993","9606.ENSP00000376306","9606.ENSP00000419970"
"994","9606.ENSP00000419970","9606.ENSP00000264167"
"1001","9606.ENSP00000376306","9606.ENSP00000418734"
"1002","9606.ENSP00000418734","9606.ENSP00000264167"
"1009","9606.ENSP00000376306","9606.ENSP00000417963"
"1010","9606.ENSP00000417963","9606.ENSP00000264167"
"1017","9606.ENSP00000376306","9606.ENSP00000415332"
"1018","9606.ENSP00000415332","9606.ENSP00000264167"
"1025","9606.ENSP00000376306","9606.ENSP00000412324"
"1026","9606.ENSP00000412324","9606.ENSP00000264167"
"1033","9606.ENSP00000376306","9606.ENSP00000411250"
"1034","9606.ENSP00000411250","9606.ENSP00000264167"
"1041","9606.ENSP00000376306","9606.ENSP00000400717"
"1042","9606.ENSP00000400717","9606.ENSP00000264167"
"1049","9606.ENSP00000376306","9606.ENSP00000397459"
"1050","9606.ENSP00000397459","9606.ENSP00000264167"
"1057","9606.ENSP00000376306","9606.ENSP00000381736"
"1058","9606.ENSP00000381736","9606.ENSP00000264167"
"1065","9606.ENSP00000376306","9606.ENSP00000378721"
"1066","9606.ENSP00000378721","9606.ENSP00000264167"
"1073","9606.ENSP00000376306","9606.ENSP00000377086"
"1074","9606.ENSP00000377086","9606.ENSP00000264167"
"1081","9606.ENSP00000376306","9606.ENSP00000376609"
"1082","9606.ENSP00000376609","9606.ENSP00000264167"
"1089","9606.ENSP00000376306","9606.ENSP00000376457"
"1090","9606.ENSP00000376457","9606.ENSP00000264167"
"1097","9606.ENSP00000376306","9606.ENSP00000376309"
"1098","9606.ENSP00000376309","9606.ENSP00000264167"
"1105","9606.ENSP00000376306","9606.ENSP00000376132"
"1106","9606.ENSP00000376132","9606.ENSP00000264167"
"1113","9606.ENSP00000376306","9606.ENSP00000370023"
"1114","9606.ENSP00000370023","9606.ENSP00000264167"
"1121","9606.ENSP00000376306","9606.ENSP00000369461"
"1122","9606.ENSP00000369461","9606.ENSP00000264167"
"1129","9606.ENSP00000376306","9606.ENSP00000367220"
"1130","9606.ENSP00000367220","9606.ENSP00000264167"
"1137","9606.ENSP00000376306","9606.ENSP00000364649"
"1138","9606.ENSP00000364649","9606.ENSP00000264167"
"1145","9606.ENSP00000376306","9606.ENSP00000362329"
"1146","9606.ENSP00000362329","9606.ENSP00000264167"
"1153","9606.ENSP00000376306","9606.ENSP00000361635"
"1154","9606.ENSP00000361635","9606.ENSP00000264167"
"1161","9606.ENSP00000376306","9606.ENSP00000361186"
"1162","9606.ENSP00000361186","9606.ENSP00000264167"
"1169","9606.ENSP00000376306","9606.ENSP00000359370"
"1170","9606.ENSP00000359370","9606.ENSP00000264167"
"1177","9606.ENSP00000376306","9606.ENSP00000359233"
"1178","9606.ENSP00000359233","9606.ENSP00000264167"
"1185","9606.ENSP00000376306","9606.ENSP00000358474"
"1186","9606.ENSP00000358474","9606.ENSP00000264167"
"1193","9606.ENSP00000376306","9606.ENSP00000358417"
"1194","9606.ENSP00000358417","9606.ENSP00000264167"
"1201","9606.ENSP00000376306","9606.ENSP00000356169"
"1202","9606.ENSP00000356169","9606.ENSP00000264167"
"1209","9606.ENSP00000376306","9606.ENSP00000355510"
"1210","9606.ENSP00000355510","9606.ENSP00000264167"
"1217","9606.ENSP00000376306","9606.ENSP00000353826"
"1218","9606.ENSP00000353826","9606.ENSP00000264167"
"1225","9606.ENSP00000376306","9606.ENSP00000352834"
"1226","9606.ENSP00000352834","9606.ENSP00000264167"
"1233","9606.ENSP00000376306","9606.ENSP00000350012"
"1234","9606.ENSP00000350012","9606.ENSP00000264167"
"1241","9606.ENSP00000376306","9606.ENSP00000349960"
"1242","9606.ENSP00000349960","9606.ENSP00000264167"
"1249","9606.ENSP00000376306","9606.ENSP00000345230"
"1250","9606.ENSP00000345230","9606.ENSP00000264167"
"1257","9606.ENSP00000376306","9606.ENSP00000340466"
"1258","9606.ENSP00000340466","9606.ENSP00000264167"
"1265","9606.ENSP00000376306","9606.ENSP00000339916"
"1266","9606.ENSP00000339916","9606.ENSP00000264167"
"1273","9606.ENSP00000376306","9606.ENSP00000339787"
"1274","9606.ENSP00000339787","9606.ENSP00000264167"
"1281","9606.ENSP00000376306","9606.ENSP00000333938"
"1282","9606.ENSP00000333938","9606.ENSP00000264167"
"1289","9606.ENSP00000376306","9606.ENSP00000328236"
"1290","9606.ENSP00000328236","9606.ENSP00000264167"
"1297","9606.ENSP00000376306","9606.ENSP00000325376"
"1298","9606.ENSP00000325376","9606.ENSP00000264167"
"1305","9606.ENSP00000376306","9606.ENSP00000325136"
"1306","9606.ENSP00000325136","9606.ENSP00000264167"
"1313","9606.ENSP00000376306","9606.ENSP00000322439"
"1314","9606.ENSP00000322439","9606.ENSP00000264167"
"1321","9606.ENSP00000376306","9606.ENSP00000317904"
"1322","9606.ENSP00000317904","9606.ENSP00000264167"
"1329","9606.ENSP00000376306","9606.ENSP00000314193"
"1330","9606.ENSP00000314193","9606.ENSP00000264167"
"1337","9606.ENSP00000376306","9606.ENSP00000307241"
"1338","9606.ENSP00000307241","9606.ENSP00000264167"
"1345","9606.ENSP00000376306","9606.ENSP00000303511"
"1346","9606.ENSP00000303511","9606.ENSP00000264167"
"1353","9606.ENSP00000376306","9606.ENSP00000300107"
"1354","9606.ENSP00000300107","9606.ENSP00000264167"
"1361","9606.ENSP00000376306","9606.ENSP00000298910"
"1362","9606.ENSP00000298910","9606.ENSP00000264167"
"1369","9606.ENSP00000376306","9606.ENSP00000298510"
"1370","9606.ENSP00000298510","9606.ENSP00000264167"
"1377","9606.ENSP00000376306","9606.ENSP00000297591"
"1378","9606.ENSP00000297591","9606.ENSP00000264167"
"1385","9606.ENSP00000376306","9606.ENSP00000296255"
"1386","9606.ENSP00000296255","9606.ENSP00000264167"
"1393","9606.ENSP00000376306","9606.ENSP00000295225"
"1394","9606.ENSP00000295225","9606.ENSP00000264167"
"1401","9606.ENSP00000376306","9606.ENSP00000294742"
"1402","9606.ENSP00000294742","9606.ENSP00000264167"
"1409","9606.ENSP00000376306","9606.ENSP00000294053"
"1410","9606.ENSP00000294053","9606.ENSP00000264167"
"1417","9606.ENSP00000376306","9606.ENSP00000287859"
"1418","9606.ENSP00000287859","9606.ENSP00000264167"
"1425","9606.ENSP00000376306","9606.ENSP00000286398"
"1426","9606.ENSP00000286398","9606.ENSP00000264167"
"1433","9606.ENSP00000376306","9606.ENSP00000275364"
"1434","9606.ENSP00000275364","9606.ENSP00000264167"
"1441","9606.ENSP00000376306","9606.ENSP00000265748"
"1442","9606.ENSP00000265748","9606.ENSP00000264167"
"1449","9606.ENSP00000376306","9606.ENSP00000264932"
"1450","9606.ENSP00000264932","9606.ENSP00000264167"
"1457","9606.ENSP00000376306","9606.ENSP00000264065"
"1458","9606.ENSP00000264065","9606.ENSP00000264167"
"1465","9606.ENSP00000376306","9606.ENSP00000263774"
"1466","9606.ENSP00000263774","9606.ENSP00000264167"
"1473","9606.ENSP00000376306","9606.ENSP00000263265"
"1474","9606.ENSP00000263265","9606.ENSP00000264167"
"1481","9606.ENSP00000376306","9606.ENSP00000261461"
"1482","9606.ENSP00000261461","9606.ENSP00000264167"
"1489","9606.ENSP00000376306","9606.ENSP00000261195"
"1490","9606.ENSP00000261195","9606.ENSP00000264167"
"1497","9606.ENSP00000376306","9606.ENSP00000260665"
"1498","9606.ENSP00000260665","9606.ENSP00000264167"
"1505","9606.ENSP00000376306","9606.ENSP00000260363"
"1506","9606.ENSP00000260363","9606.ENSP00000264167"
"1513","9606.ENSP00000376306","9606.ENSP00000253024"
"1514","9606.ENSP00000253024","9606.ENSP00000264167"
"1521","9606.ENSP00000376306","9606.ENSP00000251047"
"1522","9606.ENSP00000251047","9606.ENSP00000264167"
"1529","9606.ENSP00000376306","9606.ENSP00000249442"
"1530","9606.ENSP00000249442","9606.ENSP00000264167"
"1537","9606.ENSP00000376306","9606.ENSP00000247005"
"1538","9606.ENSP00000247005","9606.ENSP00000264167"
"1545","9606.ENSP00000376306","9606.ENSP00000238789"
"1546","9606.ENSP00000238789","9606.ENSP00000264167"
"1553","9606.ENSP00000376306","9606.ENSP00000229239"
"1554","9606.ENSP00000229239","9606.ENSP00000264167"
"1561","9606.ENSP00000376306","9606.ENSP00000228495"
"1562","9606.ENSP00000228495","9606.ENSP00000264167"
"1569","9606.ENSP00000376306","9606.ENSP00000228318"
"1570","9606.ENSP00000228318","9606.ENSP00000264167"
"1577","9606.ENSP00000376306","9606.ENSP00000225972"
"1578","9606.ENSP00000225972","9606.ENSP00000264167"
"1585","9606.ENSP00000376306","9606.ENSP00000221486"
"1586","9606.ENSP00000221486","9606.ENSP00000264167"
"1593","9606.ENSP00000376306","9606.ENSP00000217455"
"1594","9606.ENSP00000217455","9606.ENSP00000264167"
"1601","9606.ENSP00000376306","9606.ENSP00000217402"
"1602","9606.ENSP00000217402","9606.ENSP00000264167"
"1609","9606.ENSP00000264167","9606.ENSP00000308430"
"1611","9606.ENSP00000308430","9606.ENSP00000482264"
"1612","9606.ENSP00000482264","9606.ENSP00000479216"
"1619","9606.ENSP00000308430","9606.ENSP00000478931"
"1620","9606.ENSP00000478931","9606.ENSP00000479216"
"1627","9606.ENSP00000308430","9606.ENSP00000478310"
"1628","9606.ENSP00000478310","9606.ENSP00000479216"
"1635","9606.ENSP00000308430","9606.ENSP00000466379"
"1636","9606.ENSP00000466379","9606.ENSP00000479216"
"1643","9606.ENSP00000308430","9606.ENSP00000465589"
"1644","9606.ENSP00000465589","9606.ENSP00000479216"
"1651","9606.ENSP00000308430","9606.ENSP00000464050"
"1652","9606.ENSP00000464050","9606.ENSP00000479216"
"1659","9606.ENSP00000308430","9606.ENSP00000445122"
"1660","9606.ENSP00000445122","9606.ENSP00000479216"
"1667","9606.ENSP00000308430","9606.ENSP00000430955"
"1668","9606.ENSP00000430955","9606.ENSP00000479216"
"1675","9606.ENSP00000308430","9606.ENSP00000430344"
"1676","9606.ENSP00000430344","9606.ENSP00000479216"
"1683","9606.ENSP00000308430","9606.ENSP00000430241"
"1684","9606.ENSP00000430241","9606.ENSP00000479216"
"1691","9606.ENSP00000308430","9606.ENSP00000428845"
"1692","9606.ENSP00000428845","9606.ENSP00000479216"
"1699","9606.ENSP00000308430","9606.ENSP00000422607"
"1700","9606.ENSP00000422607","9606.ENSP00000479216"
"1707","9606.ENSP00000308430","9606.ENSP00000411848"
"1708","9606.ENSP00000411848","9606.ENSP00000479216"
"1715","9606.ENSP00000308430","9606.ENSP00000407213"
"1716","9606.ENSP00000407213","9606.ENSP00000479216"
"1723","9606.ENSP00000308430","9606.ENSP00000405424"
"1724","9606.ENSP00000405424","9606.ENSP00000479216"
"1731","9606.ENSP00000308430","9606.ENSP00000399457"
"1732","9606.ENSP00000399457","9606.ENSP00000479216"
"1739","9606.ENSP00000308430","9606.ENSP00000392395"
"1740","9606.ENSP00000392395","9606.ENSP00000479216"
"1747","9606.ENSP00000308430","9606.ENSP00000387164"
"1748","9606.ENSP00000387164","9606.ENSP00000479216"
"1755","9606.ENSP00000308430","9606.ENSP00000380184"
"1756","9606.ENSP00000380184","9606.ENSP00000479216"
"1763","9606.ENSP00000308430","9606.ENSP00000379898"
"1764","9606.ENSP00000379898","9606.ENSP00000479216"
"1771","9606.ENSP00000308430","9606.ENSP00000377250"
"1772","9606.ENSP00000377250","9606.ENSP00000479216"
"1779","9606.ENSP00000308430","9606.ENSP00000370022"
"1780","9606.ENSP00000370022","9606.ENSP00000479216"
"1787","9606.ENSP00000308430","9606.ENSP00000368566"
"1788","9606.ENSP00000368566","9606.ENSP00000479216"
"1795","9606.ENSP00000308430","9606.ENSP00000367923"
"1796","9606.ENSP00000367923","9606.ENSP00000479216"
"1803","9606.ENSP00000308430","9606.ENSP00000366395"
"1804","9606.ENSP00000366395","9606.ENSP00000479216"
"1811","9606.ENSP00000308430","9606.ENSP00000360593"
"1812","9606.ENSP00000360593","9606.ENSP00000479216"
"1819","9606.ENSP00000308430","9606.ENSP00000359380"
"1820","9606.ENSP00000359380","9606.ENSP00000479216"
"1827","9606.ENSP00000308430","9606.ENSP00000358695"
"1828","9606.ENSP00000358695","9606.ENSP00000479216"
"1835","9606.ENSP00000308430","9606.ENSP00000357637"
"1836","9606.ENSP00000357637","9606.ENSP00000479216"
"1843","9606.ENSP00000308430","9606.ENSP00000356687"
"1844","9606.ENSP00000356687","9606.ENSP00000479216"
"1851","9606.ENSP00000308430","9606.ENSP00000356530"
"1852","9606.ENSP00000356530","9606.ENSP00000479216"
"1859","9606.ENSP00000308430","9606.ENSP00000354468"
"1860","9606.ENSP00000354468","9606.ENSP00000479216"
"1867","9606.ENSP00000308430","9606.ENSP00000351777"
"1868","9606.ENSP00000351777","9606.ENSP00000479216"
"1875","9606.ENSP00000308430","9606.ENSP00000351159"
"1876","9606.ENSP00000351159","9606.ENSP00000479216"
"1883","9606.ENSP00000308430","9606.ENSP00000350012"
"1884","9606.ENSP00000350012","9606.ENSP00000479216"
"1891","9606.ENSP00000308430","9606.ENSP00000348429"
"1892","9606.ENSP00000348429","9606.ENSP00000479216"
"1899","9606.ENSP00000308430","9606.ENSP00000339787"
"1900","9606.ENSP00000339787","9606.ENSP00000479216"
"1907","9606.ENSP00000308430","9606.ENSP00000338348"
"1908","9606.ENSP00000338348","9606.ENSP00000479216"
"1915","9606.ENSP00000308430","9606.ENSP00000337688"
"1916","9606.ENSP00000337688","9606.ENSP00000479216"
"1923","9606.ENSP00000308430","9606.ENSP00000331487"
"1924","9606.ENSP00000331487","9606.ENSP00000479216"
"1931","9606.ENSP00000308430","9606.ENSP00000323867"
"1932","9606.ENSP00000323867","9606.ENSP00000479216"
"1939","9606.ENSP00000308430","9606.ENSP00000322898"
"1940","9606.ENSP00000322898","9606.ENSP00000479216"
"1947","9606.ENSP00000308430","9606.ENSP00000321971"
"1948","9606.ENSP00000321971","9606.ENSP00000479216"
"1955","9606.ENSP00000308430","9606.ENSP00000316329"
"1956","9606.ENSP00000316329","9606.ENSP00000479216"
