"","V1","V2","V3","V4"
"3127",2486325,"CACNG8","GRIN3A","774"
"3128",2486329,"CACNG8","CATSPERZ","720"
"3129",2486334,"CACNG8","STAC3","720"
"3130",2486352,"CACNG8","GRIN2D","786"
"3131",2486439,"CACNG8","CATSPER1","740"
"3132",2486450,"CACNG8","OLFM2","726"
"3133",2486499,"CACNG8","GRIK5","704"
"3134",2486509,"CACNG8","CATSPER4","720"
"3135",2486539,"CACNG8","GRIN3B","774"
"3136",2486568,"CACNG8","CACNG5","780"
"3137",2486584,"CACNG8","CATSPERB","752"
"3138",2486688,"TIMM29","TIMM23","704"
"3139",2487448,"TIMM44","NDUFA7","764"
"3140",2487556,"TIMM44","CYC1","723"
"3141",2487592,"TIMM44","MRPL45","658"
"3142",2488140,"TIMM44","DNLZ","765"
"3143",2488346,"TIMM44","TOMM20L","664"
"3144",2491509,"RPS11","EIF1B","782"
"3145",2491679,"RPS11","AATF","789"
"3146",2491692,"RPS11","MRPL46","755"
"3147",2491759,"RPS11","EIF5A2","711"
"3148",2491871,"RPS11","HSPE1-MOB4","724"
"3149",2491974,"RPS11","EIF5AL1","711"
"3150",2492316,"RPS11","EIF2S3B","653"
"3151",2492744,"RPS11","FDXACB1","715"
"3152",2492877,"RPS11","LOC102724159","781"
"3153",2492972,"RPS11","NHP2","710"
"3154",2493083,"PTH2","UCN","699"
"3155",2493106,"PTH2","CRH","738"
"3156",2493132,"PTH2","NPS","705"
"3157",2493187,"PTH2","IAPP","653"
"3158",2494097,"RCN3","PRDX6","657"
"3159",2497425,"IL22RA1","IL11","663"
"3160",2497428,"IL22RA1","IFNG","688"
"3161",2497454,"IL22RA1","CSF2","705"
"3162",2497505,"IL22RA1","IL26","684"
"3163",2497516,"IL22RA1","IL17D","718"
"3164",2497587,"IL22RA1","IFNA1","684"
"3165",2497615,"IL22RA1","IFNL2","758"
"3166",2497618,"IL22RA1","IFNL1","798"
"3167",2497622,"IL22RA1","IFNW1","706"
"3168",2497666,"IL22RA1","IFNB1","772"
"3169",2497701,"IL22RA1","IL9","732"
"3170",2497715,"IL22RA1","IL23A","719"
"3171",2497770,"IL22RA1","IL13","743"
"3172",2497798,"IL22RA1","IFNA13","703"
"3173",2497808,"IL22RA1","IL2","712"
"3174",2497823,"IL22RA1","IFNL3","746"
"3175",2497832,"IL22RA1","SOCS3","660"
"3176",2497834,"IL22RA1","IFNK","660"
"3177",2504583,"PROK1","GPR25","664"
"3178",2504596,"PROK1","PROKR1","743"
"3179",2504773,"PROK1","GPR83","721"
"3180",2504876,"CELSR2","FZD9","670"
"3181",2505266,"CELSR2","MYBPHL","707"
"3182",2513037,"S100A11","TCHHL1","777"
"3183",2513076,"S100A11","LELP1","703"
"3184",2519625,"CRNN","KPRP","689"
"3185",2521499,"CNIH3","SEC22B","654"
"3186",2521553,"CNIH3","NT5C1A","768"
"3187",2521567,"CNIH3","GRIN3A","782"
"3188",2521598,"CNIH3","GRIN2B","769"
"3189",2521624,"CNIH3","TMED10","756"
"3190",2521628,"CNIH3","CACNG8","786"
"3191",2521685,"CNIH3","GRIK5","667"
"3192",2521697,"CNIH3","CACNG5","765"
"3193",2521719,"CNIH3","KCNG2","689"
"3194",2521765,"CNIH3","CACNG7","765"
"3195",2521846,"CNIH3","GRIN2D","745"
"3196",2521890,"CNIH3","CACNG3","769"
"3197",2521916,"CNIH3","OLFM2","799"
"3198",2521956,"CNIH3","GRIN3B","776"
"3199",2521973,"LEFTY1","CER1","717"
"3200",2522189,"LEFTY1","SOX2","662"
"3201",2522288,"LEFTY1","FOXH1","679"
"3202",2522868,"WNT9A","IHH","657"
"3203",2522966,"WNT9A","DKK4","706"
"3204",2523016,"WNT9A","GDF5","740"
"3205",2523062,"WNT9A","DKK2","752"
"3206",2523345,"WNT9A","SHH","686"
"3207",2523413,"WNT9A","FRZB","698"
"3208",2527104,"ARL8A","DUSP26","662"
"3209",2527452,"OSR1","VHL","680"
"3210",2527531,"GDF7","NOG","745"
"3211",2527695,"GDF7","TNMD","768"
"3212",2527726,"GDF7","GREM2","696"
"3213",2531293,"ABCG8","CYP27A1","683"
"3214",2531609,"ABCG8","CYP8B1","681"
"3215",2531768,"ABCG8","FXYD1","731"
"3216",2531904,"ABCG8","ATP1B2","728"
"3217",2531969,"ABCG8","PLN","720"
"3218",2538510,"ETAA1","CNRIP1","689"
"3219",2538708,"ETAA1","FBXO48","768"
"3220",2542462,"TRIM43","PRAMEF2","727"
"3221",2542566,"TRIM43","LEUTX","664"
"3222",2542629,"TRIM43","MBD3L2","790"
"3223",2542676,"TRIM43","DUX4","659"
"3224",2545189,"NAT8","KAT2B","773"
"3225",2551063,"NXPH2","TMEM86A","732"
"3226",2551070,"NXPH2","SPOPL","653"
"3227",2556295,"ACKR3","ATP5PO","774"
"3228",2556328,"ACKR3","ATP5F1B","691"
"3229",2559587,"CTDSP1","CATIP","730"
"3230",2561273,"MARCHF4","UBE2QL1","754"
"3231",2561502,"MARCHF4","AP1M1","676"
"3232",2563232,"DYNC1LI1","CAPZA3","679"
"3233",2563420,"DYNC1LI1","DCTN6","797"
"3234",2565505,"ARL6IP5","WDFY2","743"
"3235",2567319,"LRTM1","FOXB2","702"
"3236",2567703,"CNPY2","CNPY4","678"
"3237",2570495,"ABHD10","ABHD13","656"
"3238",2570809,"PLA1A","ABT1","764"
"3239",2577078,"TCTA","ATP6V1F","655"
"3240",2577111,"TCTA","GPR25","770"
"3241",2577448,"ABHD14A","ABHD16B","673"
"3242",2579132,"EAF2","VHL","666"
"3243",2584154,"CABS1","SMR3A","709"
"3244",2584200,"CABS1","TRAPPC5","699"
"3245",2586222,"SPATA5","PSMC3","799"
"3246",2586425,"SPATA5","PSMB1","674"
"3247",2586997,"SPATA5","PSMC4","676"
"3248",2587503,"FABP2","FABP4","695"
"3249",2591987,"NAF1","BOP1","666"
"3250",2592046,"NAF1","DHX37","657"
"3251",2592135,"NAF1","FBL","742"
"3252",2592543,"SFRP2","FZD9","662"
"3253",2592653,"SFRP2","FZD5","675"
"3254",2592764,"SFRP2","FZD4","667"
"3255",2592861,"SFRP2","DKK2","729"
"3256",2592957,"SFRP2","FZD7","692"
"3257",2593072,"SFRP2","FZD8","660"
"3258",2593169,"SFRP2","FZD10","671"
"3259",2601093,"GZMA","KLRK1","651"
"3260",2601249,"GZMA","CXCL9","664"
"3261",2601365,"GZMA","LY86","651"
"3262",2601445,"GZMA","CCL5","774"
"3263",2601557,"GZMA","FASLG","666"
"3264",2601671,"GZMA","IL18RAP","662"
"3265",2601685,"GZMA","GIMAP7","680"
"3266",2601687,"GZMA","CXCR6","778"
"3267",2601719,"GZMA","TBX21","776"
"3268",2601737,"GZMA","CST7","708"
"3269",2601908,"GZMA","F2R","690"
"3270",2607145,"FEM1C","RBX1","666"
"3271",2607422,"FEM1C","PPM1E","745"
"3272",2607575,"FEM1C","C6orf120","736"
"3273",2608090,"COMMD10","RBX1","667"
"3274",2610877,"IL9","LTA","696"
"3275",2610953,"IL9","CXCL1","664"
"3276",2611015,"IL9","IL1A","734"
"3277",2611016,"IL9","CCL4","798"
"3278",2611043,"IL9","CCL3","774"
"3279",2611086,"IL9","CCL2","712"
"3280",2611124,"IL9","IL13RA2","666"
"3281",2611136,"IL9","TBX21","664"
"3282",2611149,"IL9","IL22RA1","732"
"3283",2611208,"IL9","IL27RA","657"
"3284",2611214,"IL9","TNF","752"
"3285",2611396,"IL9","CCL4L2","788"
"3286",2611438,"IL9","IFNG","753"
"3287",2611449,"IL9","CXCL10","731"
"3288",2611817,"TIMD4","PPP1R3B","652"
"3289",2615118,"N4BP3","HIGD2A","664"
"3290",2615153,"NHP2","MRPL20","711"
"3291",2615295,"NHP2","UTP14C","694"
"3292",2615364,"NHP2","DHX37","698"
"3293",2615427,"NHP2","DDX28","722"
"3294",2615438,"NHP2","MRPL12","696"
"3295",2615472,"NHP2","RPS28","713"
"3296",2615490,"NHP2","TIMM23","680"
"3297",2615581,"NHP2","RPS18","672"
"3298",2615610,"NHP2","RPS13","791"
"3299",2615646,"NHP2","UBA52","671"
"3300",2615677,"NHP2","RPS10-NUDT3","760"
"3301",2615833,"NHP2","EIF6","781"
"3302",2615841,"NHP2","TERF2IP","782"
"3303",2615849,"NHP2","RPL26L1","667"
"3304",2615855,"NHP2","POP7","780"
"3305",2615980,"NHP2","NME1","658"
"3306",2616029,"NHP2","RPS5","780"
"3307",2616038,"NHP2","NUFIP1","737"
"3308",2616105,"NHP2","RPL36A-HNRNPH2","671"
"3309",2616112,"NHP2","POLR3C","655"
"3310",2616205,"NHP2","RPL36AL","687"
"3311",2616227,"NHP2","SF3B5","655"
"3312",2616280,"NHP2","NSUN6","731"
"3313",2616391,"NHP2","RPS19","773"
"3314",2616411,"NHP2","URB1","708"
"3315",2616466,"NHP2","LSM11","786"
"3316",2616477,"NHP2","NOL12","785"
"3317",2616613,"NHP2","RPS11","710"
"3318",2616702,"NHP2","RPP25","754"
"3319",2616706,"NHP2","PINX1","716"
"3320",2616728,"NHP2","PAK1IP1","670"
"3321",2616759,"NHP2","TIMM8A","651"
"3322",2616825,"NHP2","LSM8","664"
"3323",2616837,"NHP2","MRPL15","690"
"3324",2616845,"NHP2","NSUN6","731"
"3325",2616880,"FGF18","KL","669"
"3326",2617068,"FGF18","FRS2","718"
"3327",2617182,"FGF18","FGF23","672"
"3328",2617675,"KCNMB1","LRRC26","756"
"3329",2619866,"PSD2","ARF6","676"
"3330",2620273,"PSD2","PAIP2B","681"
"3331",2621856,"LRRTM2","CACNG2","779"
"3332",2622842,"H2BC1","TNP2","686"
"3333",2622851,"H2BC1","TAF9B","657"
"3334",2622877,"H2BC1","H2AC12","704"
"3335",2622934,"H2BC1","H3C15","734"
"3336",2623101,"H2BC1","PRKDC","656"
"3337",2623108,"H2BC1","KAT2B","690"
"3338",2623298,"H2BC1","YEATS4","710"
"3339",2623355,"H2BC1","H3-5","671"
"3340",2623367,"H2BC1","H3C14","734"
"3341",2623416,"H2BC1","SMARCA5","669"
"3342",2623457,"H2BC1","H3-2","658"
"3343",2623490,"H2BC1","PRMT6","660"
"3344",2623494,"H2BC1","H3C13","734"
"3345",2623597,"H2BC1","H2AB3","763"
"3346",2623651,"H2BC1","UBE2B","750"
"3347",2623680,"H2BC1","TNP1","717"
"3348",2623698,"H2BC1","H1-7","674"
"3349",2623719,"H2BC1","H1-6","787"
"3350",2624617,"HIGD2A","N4BP3","664"
"3351",2626020,"MMUT","CBL","721"
"3352",2626111,"MMUT","TCN2","729"
"3353",2626272,"MMUT","SPR","778"
"3354",2626890,"ABT1","LTV1","799"
"3355",2626917,"ABT1","MRTO4","778"
"3356",2627101,"ABT1","NOL12","652"
"3357",2627176,"ABT1","TFB2M","734"
"3358",2627262,"ABT1","PLA1A","764"
"3359",2627413,"ABT1","NOC4L","685"
"3360",2627505,"ABT1","UTP3","758"
"3361",2627563,"ABT1","TFAP2D","660"
"3362",2627598,"ABT1","ZNF622","683"
"3363",2628050,"SCUBE3","FANCE","666"
"3364",2630366,"CYP39A1","CH25H","778"
"3365",2630476,"CYP39A1","ERG28","750"
"3366",2632286,"PM20D2","ENPP4","657"
"3367",2634036,"TAAR8","VNN1","695"
"3368",2634177,"TAAR1","VNN1","744"
"3369",2634193,"TAAR1","PTPN4","739"
"3370",2635222,"SLC22A3","YRDC","720"
"3371",2645246,"SSC4D","TMPRSS15","698"
"3372",2648533,"STRA8","CAPZA3","740"
"3373",2648871,"STRA8","NANOS3","730"
"3374",2649485,"EPHA1","CD2AP","759"
"3375",2649538,"EPHA1","MS4A6E","687"
"3376",2650437,"NOM1","PNO1","757"
"3377",2650519,"NOM1","UTP14C","744"
"3378",2650587,"NOM1","NSUN6","659"
"3379",2650616,"NOM1","DHX37","748"
"3380",2650666,"NOM1","BOP1","746"
"3381",2650685,"NOM1","AATF","724"
"3382",2650894,"NOM1","LTV1","740"
"3383",2650914,"NOM1","RRS1","741"
"3384",2650925,"NOM1","NSUN6","659"
"3385",2651555,"TMEM47","AJM1","652"
"3386",2653471,"CHST7","ZNF674","764"
"3387",2653609,"CHST7","CSGALNACT2","793"
"3388",2654478,"RAB41","RAB39A","698"
"3389",2656954,"RIPPLY1","MESP2","714"
"3390",2660156,"GPR119","FFAR2","692"
"3391",2660224,"GPR119","FFAR3","700"
"3392",2670684,"CRH","NPS","692"
"3393",2670685,"CRH","GAL","707"
"3394",2670686,"CRH","PTH2","738"
"3395",2670742,"CRH","MC2R","725"
"3396",2670773,"CRH","AGRP","776"
"3397",2670798,"CRH","RLN3","759"
"3398",2670892,"CRH","PTH","704"
"3399",2670903,"CRH","PNOC","711"
"3400",2670962,"CRH","MC4R","729"
"3401",2671115,"CRH","BCL2A1","775"
"3402",2671194,"CRH","AVPR1B","797"
"3403",2671196,"CRH","SCT","684"
"3404",2671222,"CRH","HTR1A","774"
"3405",2671223,"CRH","AVP","737"
"3406",2671249,"CRH","CARTPT","713"
"3407",2671263,"CRH","GNG2","712"
"3408",2671277,"CRH","INS","681"
"3409",2671335,"CRH","TSHB","723"
"3410",2671467,"CRH","CGA","698"
"3411",2672295,"LACTB2","PDE12","778"
"3412",2672561,"PRDM14","TET1","743"
"3413",2672591,"PRDM14","TFCP2L1","651"
"3414",2672732,"PRDM14","DPPA3","661"
"3415",2672831,"PRDM14","TFAP2C","796"
"3416",2681278,"IFNA1","SOCS1","668"
"3417",2681298,"IFNA1","IFNL1","725"
"3418",2681306,"IFNA1","IFNL2","711"
"3419",2681433,"IFNA1","IFNA8","702"
"3420",2681449,"IFNA1","CCL3","705"
"3421",2681572,"IFNA1","IL22RA1","684"
"3422",2681630,"IFNA1","TLR2","688"
"3423",2681676,"IFNA1","IL13","685"
"3424",2681680,"IFNA1","IFNA14","695"
"3425",2681753,"IFNA1","CD40LG","654"
"3426",2681773,"IFNA1","IFNA4","688"
"3427",2681844,"IFNA1","CCL4L2","662"
"3428",2681865,"IFNA1","IFNG","681"
"3429",2681869,"IFNA1","CCL5","721"
"3430",2681920,"IFNA1","IL27RA","709"
"3431",2682024,"IFNA1","IL1A","681"
"3432",2682027,"IFNA1","CCL4","688"
"3433",2682062,"IFNA1","IFNA6","695"
"3434",2682075,"IFNA1","CCL2","710"
"3435",2682110,"IFNA1","CXCL9","700"
"3436",2682361,"IFNK","IL22RA1","660"
"3437",2687606,"LCN9","LCN6","767"
"3438",2687672,"LCN9","APOD","699"
"3439",2695539,"NPFFR1","PRLH","653"
"3440",2695546,"NPFFR1","QRFP","661"
"3441",2695670,"NPFFR1","KISS1","735"
"3442",2697539,"LRRC4C","USH1G","734"
"3443",2697630,"LRRC4C","SNX31","681"
"3444",2699665,"SCGB1A1","SCGB2A2","714"
"3445",2699719,"SCGB1A1","SCGB2A1","706"
"3446",2699843,"SCGB1A1","MUC5AC","694"
"3447",2699861,"SCGB1A1","SCGB3A1","741"
"3448",2699957,"SCGB1A1","AQP5","702"
"3449",2704211,"SSRP1","WDR61","794"
"3450",2704285,"SSRP1","H2BC3","759"
"3451",2704581,"SSRP1","H3-2","701"
"3452",2704599,"SSRP1","SMARCA5","743"
"3453",2704699,"SSRP1","FEN1","696"
"3454",2704727,"SSRP1","POLR2H","734"
"3455",2705336,"SSRP1","NELFB","672"
"3456",2705364,"SSRP1","CSNK2A3","728"
"3457",2705501,"SSRP1","POLR2I","769"
"3458",2705747,"SSRP1","H2AC18","770"
"3459",2705762,"SSRP1","H2AC19","771"
"3460",2705765,"SSRP1","FBL","678"
"3461",2705767,"SSRP1","ASF1B","728"
"3462",2705769,"SSRP1","ASF1A","737"
"3463",2706577,"SLC43A1","SLC7A5","765"
"3464",2718387,"MTA2","JUN","700"
"3465",2718400,"MTA2","RING1","722"
"3466",2718404,"MTA2","ZBTB7A","697"
"3467",2718531,"MTA2","POU5F1B","713"
"3468",2718652,"MTA2","EGR1","663"
"3469",2718884,"MTA2","SNAI1","776"
"3470",2719454,"FADS3","ELOVL2","770"
"3471",2719818,"ROM1","FOSL1","769"
"3472",2719820,"ROM1","CHRM1","772"
"3473",2719903,"ROM1","MAP3K11","770"
"3474",2720011,"ROM1","GUCA1B","664"
"3475",2720103,"ROM1","RCVRN","745"
"3476",2720117,"ROM1","NR2E3","654"
"3477",2720146,"ROM1","COX8A","769"
"3478",2722602,"MS4A2","MS4A5","769"
"3479",2724705,"MPZL2","GPN3","702"
"3480",2724918,"MPZL2","ACSM4","689"
"3481",2725032,"MPZL2","RAB32","656"
"3482",2725211,"SCN2B","KCNE5","690"
"3483",2725666,"SCN2B","SCNN1G","722"
"3484",2729124,"OCSTAMP","ATP6V0D2","746"
"3485",2729559,"SPINT4","EPPIN-WFDC6","662"
"3486",2729593,"SPINT4","WFDC6","684"
"3487",2729608,"SPINT4","SPINT3","658"
"3488",2729679,"SPINT4","WFDC9","655"
"3489",2729687,"SPINT4","WFDC10B","681"
"3490",2729693,"SPINT4","SEMG2","662"
"3491",2729763,"SPINT4","WFDC13","714"
"3492",2729771,"SPINT4","WFIKKN1","652"
"3493",2731464,"GPHA2","CMC2","720"
"3494",2731974,"NUDT22","NUDT3","746"
"3495",2732056,"NUDT22","NUDT11","678"
"3496",2732953,"MRPL49","RPS5","791"
"3497",2733068,"MRPL49","COA5","740"
"3498",2733110,"MRPL49","PEBP4","721"
"3499",2733152,"MRPL49","MTERF3","774"
"3500",2733165,"MRPL49","RPS18","793"
"3501",2733360,"MRPL49","PEBP1","721"
"3502",2733466,"CDC42EP2","FAM89B","675"
"3503",2733500,"CDC42EP2","ZNRD2","682"
"3504",2734264,"VPS51","ZW10","698"
"3505",2734278,"VPS51","PLIN3","669"
"3506",2734294,"VPS51","ANGPT4","651"
"3507",2734304,"VPS51","NAPA","664"
"3508",2734342,"VPS51","GCC1","718"
"3509",2734403,"VPS51","M6PR","703"
"3510",2734874,"VPS51","PIK3R4","738"
"3511",2734898,"VPS51","RINT1","724"
"3512",2738829,"DUSP6","RERG","670"
"3513",2739559,"OR5M9","TSGA10IP","651"
"3514",2739687,"CTF1","IL27RA","758"
"3515",2739946,"CTF1","IL11","775"
"3516",2742353,"SPOPL","NXPH2","653"
"3517",2742442,"SPOPL","PDCD6","724"
"3518",2743761,"ADRA2A","RGS17","658"
"3519",2743913,"ADRA2A","GNA11","738"
"3520",2743924,"ADRA2A","CTXN3","679"
"3521",2744197,"ADRA2A","GNAZ","755"
"3522",2744269,"ADRA2A","GNG2","714"
"3523",2744313,"ADRA2A","RGS16","681"
"3524",2746645,"SPATA4","TFAP2D","732"
"3525",2746664,"SPATA4","ZCCHC3","712"
"3526",2746875,"CD226","HLA-E","661"
"3527",2746964,"CD226","NCR3LG1","653"
"3528",2746968,"CD226","ULBP2","703"
"3529",2747037,"CD226","KIR2DL3","708"
"3530",2747153,"CD226","CRTAM","678"
"3531",2747156,"CD226","ULBP1","763"
"3532",2747310,"CD226","PRF1","698"
"3533",2747534,"FSIP1","DHRS11","758"
"3534",2747539,"FSIP1","TRMT10C","779"
"3535",2747609,"FSIP1","AKAP3","728"
"3536",2755076,"PTS","PCBD1","765"
"3537",2755140,"PTS","PTP4A1","720"
"3538",2755266,"PTS","DUSP3","710"
"3539",2755409,"PTS","PTPN4","724"
"3540",2760793,"TKTL2","PGAM4","714"
"3541",2760860,"TKTL2","PGAM2","687"
"3542",2760950,"TKTL2","ENO2","786"
"3543",2760961,"TKTL2","HIBADH","730"
"3544",2761029,"TKTL2","PGAM1","726"
"3545",2761051,"TKTL2","AGXT","742"
"3546",2761097,"TKTL2","FH","762"
"3547",2761286,"TKTL2","LDHAL6B","659"
"3548",2761453,"PRSS53","POLR2M","667"
"3549",2765561,"OXSM","ATP5MF","785"
"3550",2766882,"TMEM86A","NXPH2","732"
"3551",2766927,"TMEM86A","ISOC2","661"
"3552",2766984,"TMEM86A","LRRC3C","682"
"3553",2769442,"PLBD2","PEBP1","673"
"3554",2769456,"PLBD2","FH","670"
"3555",2769462,"PLBD2","AGXT","670"
"3556",2769581,"PLBD2","HIBADH","681"
"3557",2773256,"THRSP","ACACA","680"
"3558",2773570,"THRSP","FASN","795"
"3559",2776697,"MSGN1","HES7","661"
"3560",2779972,"SLC25A31","CYC1","666"
"3561",2780108,"SLC25A31","ATP5F1B","770"
"3562",2785233,"POU4F2","UBLCP1","660"
"3563",2787404,"TMEM45B","ENDOU","703"
"3564",2794055,"PABPC3","PAIP2B","767"
"3565",2794205,"PABPC3","LSM14A","777"
"3566",2794442,"PABPC3","PABPN1L","726"
"3567",2799072,"RBM46","ZNF165","775"
"3568",2799403,"TXNDC16","RTRAF","679"
"3569",2805734,"HSPB8","HSPB2","685"
"3570",2805741,"HSPB8","ODF1","666"
"3571",2805743,"HSPB8","MN1","774"
"3572",2806028,"HSPB8","HSPB9","688"
"3573",2806104,"HSPB8","CDC37","734"
"3574",2811792,"ARL14EP","MED21","716"
"3575",2811838,"ARL14EP","MYO1E","758"
"3576",2812754,"SPC25","GINS2","662"
"3577",2812914,"SPC25","OIP5","672"
"3578",2813011,"SPC25","DSCC1","793"
"3579",2813052,"SPC25","KIFC1","740"
"3580",2813078,"SPC25","MELK","733"
"3581",2813258,"PTH","TRPV5","689"
"3582",2813320,"PTH","IHH","717"
"3583",2813332,"PTH","INS","760"
"3584",2813356,"PTH","SP7","700"
"3585",2813457,"PTH","AVP","764"
"3586",2813539,"PTH","BMP2","683"
"3587",2813540,"PTH","CYP27A1","714"
"3588",2813579,"PTH","CRH","704"
"3589",2813753,"PTH","GCM2","729"
"3590",2813820,"PTH","GIP","673"
"3591",2813934,"PTH","GAST","654"
"3592",2813972,"PTH","EPO","710"
"3593",2814020,"PTH","UCN","696"
"3594",2814114,"PDE3B","GUCY2C","662"
"3595",2814424,"PDE3B","PRKACG","659"
"3596",2814718,"TCF7L1","PYGO2","725"
"3597",2814797,"TCF7L1","SOX4","681"
"3598",2815544,"CRYGC","CCL2","732"
"3599",2815749,"CRYGC","BFSP2","720"
"3600",2815796,"CRYGC","CRYGB","696"
"3601",2815821,"CRYGC","GJA8","738"
"3602",2815863,"CRYGC","HSPB2","680"
"3603",2815999,"CRYGC","GJA3","795"
"3604",2816022,"CRYGC","CCL14","681"
"3605",2816129,"KCNK13","KCNK3","702"
"3606",2816142,"KCNK13","KCNK6","711"
"3607",2816164,"KCNK13","KCNK5","725"
"3608",2816176,"KCNK13","KCNK15","692"
"3609",2816239,"KCNK13","KCNK9","698"
"3610",2820278,"MARS2","AARS2","653"
"3611",2823942,"TMED7-TICAM2","LMAN1","749"
"3612",2824090,"TMED7-TICAM2","TMED6","691"
"3613",2835239,"GJA1","GJA8","747"
"3614",2835536,"GJA1","KCNJ2","701"
"3615",2835654,"GJA1","GJD3","755"
"3616",2835748,"GJA1","KAT2B","651"
"3617",2835760,"GJA1","CCND1","680"
"3618",2835947,"GJA1","GJC2","670"
"3619",2836234,"GJA1","GJB4","745"
"3620",2836313,"GJA1","GJB2","782"
"3621",2836433,"GJA1","GJB3","658"
"3622",2836517,"GJA1","HCN4","749"
"3623",2836888,"GMCL1","GAGE12F","739"
"3624",2836957,"GMCL1","GCC1","708"
"3625",2837741,"CCNO","FOXJ1","660"
"3626",2837962,"CCNO","GMNC","687"
"3627",2837970,"CCNO","CKS2","737"
"3628",2838162,"CCNO","DNAAF11","662"
"3629",2838931,"CATSPER3","CACNG3","737"
"3630",2838966,"CATSPER3","CACNG1","782"
"3631",2838980,"CATSPER3","CACNG6","749"
"3632",2839036,"CATSPER3","CACNG7","726"
"3633",2839112,"CATSPER3","CATSPERZ","720"
"3634",2839176,"CATSPER3","CACNG8","740"
"3635",2839201,"CATSPER3","CACNG2","720"
"3636",2839233,"CATSPER3","CACNG4","735"
"3637",2839285,"CATSPER3","STAC3","728"
"3638",2839288,"CATSPER3","EFCAB9","724"
"3639",2842650,"RAB3C","FBXO16","696"
"3640",2843719,"MED21","PPARGC1A","695"
"3641",2843738,"MED21","TRIAP1","652"
"3642",2843778,"MED21","GPN3","678"
"3643",2843958,"MED21","ARL14EP","716"
"3644",2850368,"SMARCA5","H2BC5","664"
"3645",2850588,"SMARCA5","POLR2H","759"
"3646",2850629,"SMARCA5","H2BC13","664"
"3647",2850782,"SMARCA5","H3-2","666"
"3648",2850956,"SMARCA5","SAP30","672"
"3649",2851057,"SMARCA5","H2BC1","669"
"3650",2851090,"SMARCA5","OIP5","667"
"3651",2851287,"SMARCA5","MCM6","690"
"3652",2851335,"SMARCA5","H2BC3","744"
"3653",2851571,"SMARCA5","H2BC9","664"
"3654",2851824,"SMARCA5","H2AC18","686"
"3655",2851843,"SMARCA5","H2AC19","686"
"3656",2851866,"SMARCA5","H2AB1","732"
"3657",2852010,"SMARCA5","POLR2L","669"
"3658",2852069,"SMARCA5","H2BC17","671"
"3659",2852327,"SMARCA5","SSRP1","743"
"3660",2852352,"SMARCA5","H2BC15","664"
"3661",2852408,"SMARCA5","H2AJ","701"
"3662",2852453,"SMARCA5","MIS18A","692"
"3663",2852588,"SMARCA5","H2AC7","675"
"3664",2852718,"SMARCA5","H3C1","767"
"3665",2853484,"BMP6","SOX9","680"
"3666",2853496,"BMP6","SOST","685"
"3667",2869564,"RPIA","IL18RAP","651"
"3668",2869667,"RPIA","MRPL40","672"
"3669",2870014,"RPIA","POLR1F","653"
"3670",2872752,"CFDP1","L1TD1","687"
"3671",2874145,"HOXA10","HOXA5","676"
"3672",2877962,"HS3ST3A1","OSBPL11","720"
"3673",2884348,"OTULIN","ZRANB1","706"
"3674",2884382,"OTULIN","GZMM","742"
"3675",2884421,"OTULIN","OTUD3","698"
"3676",2884528,"OTULIN","OTUD1","665"
"3677",2884636,"PANX3","CALHM1","697"
"3678",2884693,"PANX3","GJA8","697"
"3679",2884720,"PANX3","GJE1","682"
"3680",2884811,"PANX3","GJA4","775"
"3681",2886140,"TOMM70","MICOS13","780"
"3682",2886243,"TOMM70","DNAJC19","747"
"3683",2886809,"TOMM70","HSPA1B","727"
"3684",2886892,"TOMM70","PAM16","791"
"3685",2889794,"DISP1","SIX3","768"
"3686",2891272,"WNT3A","SOX17","725"
"3687",2891291,"WNT3A","SOX9","686"
"3688",2891330,"WNT3A","SOX2","662"
"3689",2891392,"WNT3A","FRZB","737"
"3690",2891406,"WNT3A","BMP2","705"
"3691",2891662,"WNT3A","AFM","748"
"3692",2891830,"WNT3A","CCND1","729"
"3693",2891984,"WNT3A","SHH","767"
"3694",2892133,"WNT3A","FGF10","733"
"3695",2892141,"WNT3A","NOG","782"
"3696",2892245,"WNT3A","CER1","705"
"3697",2893256,"PPP1R3A","LEMD3","666"
"3698",2893409,"PPP1R3A","CAV3","663"
"3699",2893452,"PPP1R3A","PPP1R15B","679"
"3700",2893526,"PPP1R3A","PPP1R2","667"
"3701",2893551,"PPP1R3A","PPP1R3G","663"
"3702",2893608,"PPP1R3A","NOP10","665"
"3703",2893610,"PPP1R3A","GYS2","773"
"3704",2894481,"ASZ1","PLD6","798"
"3705",2895185,"KLHL41","PDCD6","724"
"3706",2900188,"LY96","TNF","720"
"3707",2900278,"LY96","FADD","667"
"3708",2900320,"LY96","IKBKE","718"
"3709",2900334,"LY96","CNPY4","739"
"3710",2900414,"LY96","TLR9","725"
"3711",2900785,"LY96","TLR7","683"
"3712",2901516,"TMPRSS15","SSC4D","698"
"3713",2905690,"ADAMTS5","SOX9","675"
"3714",2905818,"ADAMTS5","MMP1","678"
"3715",2906178,"ADAMTS5","SDC4","778"
"3716",2906913,"WNT7A","DKK4","734"
"3717",2907359,"WNT7A","FRZB","701"
"3718",2907370,"WNT7A","VANGL2","651"
"3719",2907447,"WNT7A","DKK2","780"
"3720",2917121,"DKK2","WNT7A","780"
"3721",2917271,"DKK2","SFRP5","654"
"3722",2917380,"DKK2","WNT9A","752"
