"","V1","V2","V3","V4"
"145",112581,"KRT14","KRT16","771"
"146",112665,"KRT14","LORICRIN","777"
"147",113364,"KRT20","ENO2","681"
"148",113396,"KRT20","NAPSA","658"
"149",113471,"KRT20","PIP","710"
"150",114728,"FGF4","NGFR","659"
"151",115326,"FGF4","KL","710"
"152",115344,"FGF4","SOX17","658"
"153",115345,"FGF4","SHH","741"
"154",115396,"FGF4","GDF3","714"
"155",115423,"FGF4","SOX2","782"
"156",115541,"FGF4","UTF1","687"
"157",115589,"FGF4","KLB","664"
"158",115596,"FGF4","FRS2","723"
"159",118232,"GPATCH1","IBSP","684"
"160",118466,"GPATCH1","EAPP","764"
"161",122148,"NGFR","EFNA2","664"
"162",122205,"NGFR","TNFRSF21","788"
"163",122252,"NGFR","FGF9","655"
"164",122366,"NGFR","FGF3","652"
"165",122744,"NGFR","INS","750"
"166",122753,"NGFR","FGF4","659"
"167",122994,"NGFR","FGF10","685"
"168",123183,"NTN1","WASL","700"
"169",123558,"NTN1","SEMA3G","686"
"170",125723,"LAPTM4A","B4GALT5","728"
"171",127996,"DRD4","AVPR1A","669"
"172",128110,"DRD4","ANKK1","779"
"173",128312,"DRD4","GNG2","703"
"174",128333,"DRD4","HCN2","765"
"175",128495,"SCT","RHO","707"
"176",128613,"SCT","CELA1","661"
"177",128728,"SCT","GIPR","758"
"178",128750,"SCT","CRH","684"
"179",128867,"SCT","CELA3B","660"
"180",128876,"SCT","GLP1R","797"
"181",128877,"SCT","INS","688"
"182",129311,"TBX21","GZMA","776"
"183",129441,"TBX21","LAG3","691"
"184",129579,"TBX21","CCR7","765"
"185",129581,"TBX21","CXCR5","721"
"186",129599,"TBX21","CCL27","701"
"187",129674,"TBX21","KLRB1","705"
"188",129778,"TBX21","NFIL3","721"
"189",129794,"TBX21","IL9","664"
"190",129838,"TBX21","HAVCR2","665"
"191",129860,"TBX21","CD69","742"
"192",129876,"TBX21","BATF","746"
"193",129877,"TBX21","CD27","755"
"194",129945,"TBX21","CD40LG","653"
"195",129985,"TBX21","AOC3","653"
"196",130202,"TBX21","IL13","760"
"197",130258,"TBX21","CD2","696"
"198",130337,"TBX21","TNF","771"
"199",133091,"TIGAR","PGAM2","664"
"200",133215,"TIGAR","FBP2","754"
"201",133392,"TIGAR","PGK2","654"
"202",133393,"TIGAR","PGAM1","710"
"203",134072,"FGF20","FRS2","684"
"204",134172,"FGF20","KL","713"
"205",137391,"TRAM2","PLN","765"
"206",137406,"TRAM2","EMC6","739"
"207",137470,"TRAM2","MAN1A1","690"
"208",137548,"TRAM2","SLN","765"
"209",138280,"NDUFB4","NDUFAF4","715"
"210",138343,"NDUFB4","COX2","755"
"211",138375,"NDUFB4","ATP5PO","671"
"212",138441,"NDUFB4","ATP5MG","781"
"213",138463,"NDUFB4","COX1","733"
"214",138772,"NDUFB4","ATP5MGL","773"
"215",141427,"TMEM38A","TMEM126A","765"
"216",150725,"AQP2","SCNN1G","757"
"217",156358,"HBQ1","HP","677"
"218",156518,"HBQ1","HBZ","741"
"219",158137,"ZW10","ZNF787","657"
"220",158414,"ZW10","VPS52","676"
"221",158468,"ZW10","VPS51","698"
"222",158584,"ZW10","PINX1","794"
"223",159912,"PPP1R15A","NKD1","720"
"224",160060,"PPP1R15A","JUN","671"
"225",160074,"PPP1R15A","CCDC168","660"
"226",160402,"PPP1R15A","PTK6","660"
"227",160449,"PPP1R15A","PPIC","687"
"228",160485,"PPP1R15A","NCK1","743"
"229",160521,"PPP1R15A","LYN","780"
"230",164799,"TFAP2C","NANOS3","667"
"231",164892,"TFAP2C","YEATS4","680"
"232",164893,"TFAP2C","PRDM14","796"
"233",165368,"TFAP2C","CITED4","756"
"234",165410,"TFAP2C","FOXA1","770"
"235",166289,"REM1","PIK3CA","683"
"236",167035,"REM1","VAV1","673"
"237",167877,"REM1","PIK3CB","683"
"238",170071,"SIRT4","H3-2","662"
"239",170198,"SIRT4","INS","692"
"240",170937,"SIRT4","PPARGC1A","750"
"241",171263,"SIRT4","KAT2B","679"
"242",174193,"LAG3","IFNG","657"
"243",174199,"LAG3","HLA-DQA2","673"
"244",174349,"LAG3","IL10","706"
"245",174387,"LAG3","TNFRSF9","761"
"246",174406,"LAG3","PDCD1LG2","777"
"247",174471,"LAG3","TBX21","691"
"248",174488,"LAG3","PRF1","675"
"249",174552,"LAG3","CD27","695"
"250",174555,"LAG3","IL2","709"
"251",178936,"EFNB1","EFNA2","702"
"252",179006,"EFNB1","ZHX2","794"
"253",179474,"EFNB1","EFNA4","711"
"254",180566,"NAT14","NAT8L","687"
"255",187015,"CEBPE","ELANE","666"
"256",192063,"ADH1A","UGT1A5","670"
"257",192064,"ADH1A","UGT1A7","663"
"258",192118,"ADH1A","LRTOMT","708"
"259",192206,"ADH1A","LDHAL6B","701"
"260",192280,"ADH1A","UGT1A8","715"
"261",192306,"ADH1A","UGT1A9","675"
"262",192318,"ADH1A","GSTA2","787"
"263",192359,"ADH1A","UGT1A4","724"
"264",192366,"ADH1A","UGT1A10","677"
"265",192411,"ADH1A","GSTA1","777"
"266",192517,"ADH1A","UGT1A1","717"
"267",192526,"ADH1A","UGT2B17","729"
"268",192558,"ADH1A","UGT1A3","677"
"269",192685,"ADH1A","AWAT2","659"
"270",192704,"ADH1A","UGT2A2","702"
"271",192732,"ADH1A","MGST2","688"
"272",202826,"TMEM14A","DKK4","679"
"273",202903,"TMEM14A","HIGD1B","759"
"274",202923,"TMEM14A","TMEM141","695"
"275",210090,"MZF1","PLVAP","720"
"276",212858,"EFNA2","NGFR","664"
"277",212936,"EFNA2","EFNB3","697"
"278",213182,"EFNA2","EFNB1","702"
"279",213347,"ATP5F1D","APOBEC3G","680"
"280",213694,"ATP5F1D","MRPL20","766"
"281",213873,"ATP5F1D","MRPL16","703"
"282",214288,"ATP5F1D","CYTB","652"
"283",214317,"ATP5F1D","ND1","757"
"284",214435,"ATP5F1D","APOBEC3C","677"
"285",214448,"ATP5F1D","UQCRHL","713"
"286",215091,"SMIM24","NYNRIN","688"
"287",215108,"NDUFB7","ZCRB1","708"
"288",215356,"NDUFB7","COX6A1","790"
"289",215378,"NDUFB7","COX2","757"
"290",215424,"NDUFB7","COX4I2","683"
"291",215478,"NDUFB7","COX1","774"
"292",215528,"NDUFB7","ALKBH7","669"
"293",215541,"NDUFB7","COX8A","651"
"294",215593,"NDUFB7","MICOS13","684"
"295",215625,"NDUFB7","MRPL40","700"
"296",215648,"NDUFB7","COX14","756"
"297",215812,"NDUFB7","SMDT1","670"
"298",215828,"NDUFB7","NDUFAF4","677"
"299",215956,"NDUFB7","GADD45GIP1","676"
"300",215957,"NDUFB7","MRPL41","736"
"301",216963,"TIMM13","MRPL17","690"
"302",217030,"TIMM13","ALDH18A1","653"
"303",217196,"TIMM13","FBLL1","653"
"304",217284,"TIMM13","FBL","673"
"305",217301,"TIMM13","PFDN2","671"
"306",217438,"TIMM13","DNLZ","702"
"307",217479,"TIMM13","DNAJC19","777"
"308",217493,"TIMM13","RPS5","669"
"309",217682,"TIMM13","COA5","665"
"310",217723,"TIMM13","TOMM6","787"
"311",218098,"CDC34","IKBKG","755"
"312",218170,"CDC34","UBA52","708"
"313",218665,"CDC34","CTR9","754"
"314",219381,"CDC34","RNF11","713"
"315",219752,"MISP","PPIL3","653"
"316",225599,"MIF","CCL2","700"
"317",226275,"MIF","TNF","684"
"318",226904,"OSM","IL27RA","757"
"319",226928,"OSM","TNF","732"
"320",227182,"OSM","CCL4","679"
"321",235312,"TCN2","MMUT","729"
"322",236886,"PLA2G3","PLA2G2C","654"
"323",237053,"PLA2G3","PLA2G12B","678"
"324",237943,"ASPHD2","B3GLCT","653"
"325",237991,"ASPHD2","ACBD6","743"
"326",243282,"TOMM22","MICOS13","786"
"327",243794,"TOMM22","FIS1","729"
"328",249723,"BIK","FIS1","683"
"329",249732,"BIK","RTL10","684"
"330",249783,"BIK","BCL2L2-PABPN1","683"
"331",249867,"BIK","BOK","692"
"332",249933,"BIK","BCL2L10","756"
"333",257358,"CABP7","RCVRN","731"
"334",269479,"RBX1","CCDC8","685"
"335",269600,"RBX1","GTF2H5","680"
"336",269739,"RBX1","CDT1","661"
"337",269885,"RBX1","FBXL4","675"
"338",269886,"RBX1","POLR2I","658"
"339",269926,"RBX1","KAT2B","674"
"340",269933,"RBX1","ANAPC2","741"
"341",269941,"RBX1","SOCS1","781"
"342",269984,"RBX1","FBXL14","758"
"343",270026,"RBX1","FEM1C","666"
"344",270082,"RBX1","FBXL22","685"
"345",270121,"RBX1","POLR2H","702"
"346",270379,"RBX1","PDCD6","734"
"347",270509,"RBX1","FBXO32","683"
"348",270597,"RBX1","EGLN1","747"
"349",270599,"RBX1","KLHL11","717"
"350",270633,"RBX1","FBXO17","746"
"351",270815,"RBX1","FEM1B","796"
"352",270833,"RBX1","PRPF19","718"
"353",270956,"RBX1","FEM1A","665"
"354",270997,"RBX1","COMMD10","667"
"355",271023,"RBX1","POLD3","667"
"356",272516,"PHF5A","LSM10","768"
"357",272603,"PHF5A","TRNAU1AP","719"
"358",272746,"PHF5A","LOC102724594","753"
"359",281606,"SNAPC1","POLR3C","761"
"360",281719,"SNAPC1","ZNF367","659"
"361",285178,"CTSG","CAMP","766"
"362",285219,"CTSG","F2RL1","731"
"363",285390,"CTSG","F2RL2","706"
"364",285531,"CTSG","CPA3","713"
"365",285608,"CTSG","DEFA1","660"
"366",285633,"CTSG","SLPI","694"
"367",285727,"CTSG","DEFA3","709"
"368",285893,"CTSG","RNASE3","691"
"369",285958,"CTSG","F2RL3","725"
"370",294100,"PIGH","PIGW","703"
"371",297354,"TMED8","NOXRED1","681"
"372",297400,"SAMD15","NOXRED1","716"
"373",297493,"AHSA1","TTC4","728"
"374",297728,"AHSA1","FASN","682"
"375",298743,"SPTLC2","SMPD2","710"
"376",298927,"SPTLC2","FA2H","653"
"377",298943,"SPTLC2","DEGS2","704"
"378",302205,"SIX4","LBX1","667"
"379",302626,"SLC10A1","CYP7B1","666"
"380",302635,"SLC10A1","NR0B2","755"
"381",302761,"SLC10A1","CYP27A1","712"
"382",302804,"SLC10A1","SLC51B","783"
"383",303051,"SLC10A1","SLCO1C1","766"
"384",306505,"VRK1","COIL","699"
"385",306547,"VRK1","KIF11","665"
"386",322562,"R3HDML","BTBD17","699"
"387",322624,"R3HDML","PATE2","686"
"388",322695,"R3HDML","FITM2","709"
"389",326145,"TUBB1","SLPI","720"
"390",326251,"TUBB1","PFDN2","683"
"391",326253,"TUBB1","KIF11","743"
"392",326355,"TUBB1","TBCE","772"
"393",326836,"TUBB1","ZNF831","693"
"394",336181,"PROKR2","KISS1","662"
"395",336206,"PROKR2","FREM3","726"
"396",336230,"PROKR2","HS6ST1","710"
"397",337992,"SNTA1","SCN4B","792"
"398",338018,"SNTA1","KCNE2","735"
"399",338057,"SNTA1","KCNJ2","689"
"400",338296,"SNTA1","MAGEE1","708"
"401",338387,"OXT","CHRM1","665"
"402",338410,"OXT","INS","722"
"403",338439,"OXT","PMCH","677"
"404",338454,"OXT","SSTR5","657"
"405",338662,"OXT","NPY","798"
"406",338709,"OXT","HTR1B","763"
"407",338733,"OXT","KISS1","690"
"408",338753,"OXT","GAST","716"
"409",338815,"OXT","EDN1","743"
"410",338820,"OXT","SSTR2","696"
"411",338846,"OXT","SST","724"
"412",338870,"OXT","GHSR","719"
"413",338880,"OXT","PDYN","702"
"414",338939,"OXT","SSTR1","722"
"415",338942,"OXT","NPS","681"
"416",338943,"OXT","GAL","753"
"417",338995,"OXT","AGRP","681"
"418",339005,"OXT","LEP","784"
"419",339007,"OXT","NPY1R","719"
"420",339061,"OXT","ADRB2","740"
"421",339213,"OXT","MC4R","667"
"422",339217,"OXT","OTP","662"
"423",339233,"OXT","HTR1D","657"
"424",339296,"CHMP4B","BFSP2","746"
"425",339379,"CHMP4B","CRYBA4","657"
"426",339392,"CHMP4B","PDCD6","746"
"427",339611,"CHMP4B","CRYBB2","674"
"428",339651,"CHMP4B","GJA3","710"
"429",339758,"CHMP4B","CRYBA1","652"
"430",340491,"CHMP4B","LIM2","786"
"431",340624,"LBP","HP","746"
"432",341234,"SLC32A1","SST","739"
"433",341413,"SLC32A1","C5orf46","682"
"434",341592,"SLC32A1","BSN","742"
"435",342149,"SLC32A1","SLC6A7","675"
"436",342154,"SLC32A1","NPY","669"
"437",342372,"SLC32A1","CALB1","734"
"438",342512,"CST4","CSTA","720"
"439",342540,"CST4","CSTB","759"
"440",342672,"CST4","CST1","765"
"441",344440,"SPINT3","SPINT4","658"
"442",344453,"SPINT3","WFDC9","704"
"443",344512,"SPINT3","WFDC10A","690"
"444",352039,"STS","DHRS11","654"
"445",352195,"STS","SULT2A1","715"
"446",356539,"GUCY2F","KCNE5","734"
"447",356712,"GUCY2F","PDE3A","665"
"448",356719,"GUCY2F","PDE6H","756"
"449",362785,"PCSK1N","SCG2","776"
"450",363062,"PCSK1N","GPR171","752"
"451",363157,"PCSK1N","SCG5","778"
"452",363179,"PCSK1N","SCG3","739"
"453",363208,"PCSK1N","VGF","706"
"454",363629,"RAB40AL","SARNP","788"
"455",364097,"RAB40AL","FOXR2","659"
"456",364874,"RP2","NME5","674"
"457",365094,"RP2","ARL2","730"
"458",365105,"RP2","TBCE","671"
"459",365207,"RP2","CYS1","662"
"460",367713,"ITIH6","OR6C65","707"
"461",370573,"OLFM4","ASCL2","770"
"462",371162,"NTHL1","GTF2H5","667"
"463",371317,"NTHL1","ALKBH4","686"
"464",373765,"ORC6","POLD3","712"
"465",373830,"ORC6","RPA4","688"
"466",373923,"ORC6","GINS2","654"
"467",374285,"ORC6","SHCBP1","675"
"468",378955,"CCL22","CCL1","692"
"469",379024,"CCL22","CCL21","690"
"470",379117,"CCL22","CX3CL1","653"
"471",379151,"CCL22","CXCL13","660"
"472",379273,"CCL22","CCL11","747"
"473",379299,"CCL22","CXCR1","791"
"474",379387,"CCL22","CCL24","744"
"475",379433,"CCL22","CXCL9","727"
"476",379437,"CCL22","XCR1","733"
"477",379480,"CCL22","CXCR5","756"
"478",379488,"CCL22","CCR10","798"
"479",379506,"CCL22","CXCR6","742"
"480",385014,"CCDC113","C4orf47","707"
"481",385080,"CCDC113","CCDC92","719"
"482",385277,"NME3","AK7","694"
"483",386077,"NME3","DUSP14","676"
"484",389762,"FA2H","SPTLC2","653"
"485",390538,"FA2H","AMDHD1","697"
"486",391316,"CMC2","AWAT2","716"
"487",391412,"CMC2","GPHA2","720"
"488",391423,"CMC2","ICAM1","791"
"489",397742,"DECR2","KCNG3","675"
"490",398268,"DECR2","CCDC168","717"
"491",398326,"DECR2","PEX13","683"
"492",413501,"SCG3","CGB8","688"
"493",413657,"SCG3","PCSK1N","739"
"494",413695,"SCG3","VGF","731"
"495",415009,"RHOV","ARHGDIB","785"
"496",416754,"OIP5","H2AC20","654"
"497",416974,"OIP5","MND1","799"
"498",417014,"OIP5","CKS2","704"
"499",417058,"OIP5","SMARCA5","667"
"500",417078,"OIP5","CENPQ","752"
"501",417163,"OIP5","H2AX","671"
"502",417299,"OIP5","FEN1","780"
"503",417383,"OIP5","ASF1B","659"
"504",417395,"OIP5","SPC25","672"
"505",417763,"EXTL3","HS3ST5","769"
"506",417788,"EXTL3","CHSY1","684"
"507",417846,"EXTL3","HS6ST1","678"
"508",417903,"EXTL3","NDST3","697"
"509",423251,"RIPK2","TLR2","665"
"510",423369,"RIPK2","IRAK2","664"
"511",424411,"DECR1","ECHS1","678"
"512",424424,"DECR1","ECH1","759"
"513",424713,"DECR1","CPT2","736"
"514",424836,"DECR1","ACADL","776"
"515",427021,"DKK4","WNT9A","706"
"516",427107,"DKK4","WNT10A","790"
"517",427200,"DKK4","WNT7A","734"
"518",427272,"DKK4","DKKL1","651"
"519",427280,"DKK4","TMEM14A","679"
"520",430575,"GML","LYPD4","659"
"521",430621,"GML","EBLN1","690"
"522",431833,"DCTN6","KIF18A","681"
"523",431852,"DCTN6","CAPZA3","656"
"524",431883,"DCTN6","DYNC1LI1","797"
"525",438274,"EXOSC5","FAM136A","660"
"526",438284,"EXOSC5","RPS5","737"
"527",438403,"EXOSC5","XRN2","732"
"528",438488,"EXOSC5","ZFP36","658"
"529",438981,"EXOSC5","RPS13","652"
"530",439109,"EXOSC5","LOC102724159","673"
"531",439206,"EXOSC5","FBLL1","697"
"532",440924,"TULP2","SYNGR4","762"
"533",441040,"TULP2","SPATA16","660"
"534",441075,"DHDH","PIK3R6","660"
"535",441592,"ECH1","ACADS","671"
"536",441875,"ECH1","ACADL","761"
"537",442093,"ECH1","PEX13","726"
"538",442129,"ECH1","CPT2","766"
"539",442194,"ECH1","DECR1","759"
"540",445289,"KCNA7","KCNG4","658"
"541",445398,"KCNA7","KCNH3","728"
"542",445747,"KCNA7","KCNH4","665"
"543",445821,"KCNA7","KCNH8","692"
"544",448764,"CKM","MYOD1","691"
"545",448798,"CKM","TRIM63","779"
"546",448825,"CKM","LDHAL6B","765"
"547",449039,"CKM","MYOG","669"
"548",449580,"PEX11G","FIS1","687"
"549",451491,"RNASEH2A","APEX2","660"
"550",451623,"RNASEH2A","ASF1B","794"
"551",451704,"RNASEH2A","CCNB2","769"
"552",451790,"RNASEH2A","AP1M1","681"
"553",452252,"RNASEH2A","CDT1","659"
"554",452306,"RNASEH2A","MCM6","732"
"555",453518,"AMH","CYP17A1","737"
"556",453567,"AMH","BMP15","767"
"557",453997,"AMH","GREM2","653"
"558",454055,"AMH","INSL3","747"
"559",454115,"AMH","INHA","710"
"560",454324,"DKKL1","DKK4","651"
"561",454509,"RETN","CFD","778"
"562",454605,"RETN","IL10","674"
"563",454668,"RETN","ITLN1","761"
"564",454686,"RETN","CCL2","709"
"565",454767,"RETN","FABP4","661"
"566",455186,"RETN","SERPINE1","764"
"567",455233,"RETN","AGT","654"
"568",460361,"FBL","NAF1","742"
"569",460507,"FBL","SURF6","707"
"570",460541,"FBL","EXOSC6","688"
"571",460560,"FBL","EXOSC4","729"
"572",460741,"FBL","RPS12","789"
"573",460797,"FBL","RRP15","731"
"574",460804,"FBL","PRMT6","722"
"575",460817,"FBL","POLR1F","738"
"576",461028,"FBL","TOP1","721"
"577",461130,"FBL","RRP36","769"
"578",461281,"FBL","NSUN6","674"
"579",461282,"FBL","FKBP15","780"
"580",461454,"FBL","TFB2M","740"
"581",461728,"FBL","ARFGEF1","704"
"582",461984,"FBL","NACA2","772"
"583",462097,"FBL","NSUN6","674"
"584",462210,"FBL","SSRP1","678"
"585",462216,"FBL","TIMM13","673"
"586",462264,"FBL","ALYREF","798"
"587",462351,"FBL","RPL26L1","663"
"588",462444,"CLC","RNASE2","694"
"589",462463,"CLC","RNASE3","682"
"590",463995,"POLR2I","H2BC5","657"
"591",464175,"POLR2I","SF3B5","707"
"592",464208,"POLR2I","H2AC20","673"
"593",464219,"POLR2I","TAF15","663"
"594",464260,"POLR2I","MED10","675"
"595",464269,"POLR2I","SNAPC4","652"
"596",464420,"POLR2I","POLR1F","728"
"597",464531,"POLR2I","TCEANC","717"
"598",464655,"POLR2I","ZCRB1","652"
"599",464687,"POLR2I","PRPF19","673"
"600",464764,"POLR2I","RBX1","658"
"601",464828,"POLR2I","SSRP1","769"
"602",464864,"POLR2I","SF3B6","657"
"603",464898,"POLR2I","HNRNPA0","695"
"604",464984,"POLR2I","WDR61","663"
"605",465046,"POLR2I","TAF1L","667"
"606",465079,"POLR2I","UBA52","683"
"607",465082,"POLR2I","ERCC6L","759"
"608",465104,"POLR2I","MLLT1","776"
"609",465154,"POLR2I","PCBP1","670"
"610",469154,"PLIN3","VPS51","669"
"611",469378,"PLIN3","VPS52","694"
"612",469422,"PLIN3","RAB9A","783"
"613",470367,"LIM2","BFSP2","744"
"614",470371,"LIM2","CRYGS","710"
"615",470382,"LIM2","GJA3","694"
"616",470400,"LIM2","CRYAA","741"
"617",470439,"LIM2","LOC102724652","741"
"618",470463,"LIM2","CRYBB2","739"
"619",470466,"LIM2","NCMAP","772"
"620",470469,"LIM2","CRYBA1","717"
"621",470474,"LIM2","GJA8","730"
"622",470532,"LIM2","CHMP4B","786"
"623",470557,"LIM2","CRYGD","694"
"624",470629,"LIM2","CRYBA4","752"
"625",473068,"SULT2A1","CYP17A1","738"
"626",473152,"SULT2A1","UGT1A1","707"
"627",473171,"SULT2A1","CYP7A1","678"
"628",473296,"SULT2A1","CYP8B1","675"
"629",473298,"SULT2A1","UGT1A8","722"
"630",473356,"SULT2A1","SULT1A3","659"
"631",473359,"SULT2A1","STS","715"
"632",473475,"CDC37","CDK3","798"
"633",473481,"CDC37","DNAJB1","734"
"634",473598,"CDC37","CDK3","754"
"635",473847,"CDC37","HSPB8","734"
"636",473968,"CDC37","PPID","734"
"637",473986,"CDC37","TTC4","782"
"638",474099,"CDC37","FKBP4","727"
"639",479411,"DNASE2","NT5C","680"
"640",479573,"LENG1","PPIL1","769"
"641",479599,"LENG1","PRPF19","674"
"642",479676,"LENG1","RBM8A","675"
"643",481411,"SLC5A5","TSHB","687"
"644",486183,"GAPDHS","PGAM4","716"
"645",486610,"GAPDHS","PGAM2","733"
